Direccion;Precio;Tipo_Adquicision;Habitaciones;Banios;Ciudad;Fecha
1200 Floral Springs Blvd, Pt Orange, FL;;;;;Pt Orange;2024-02-05T01:50:49.408Z
2801 NW 23rd Blvd, Gainesville, FL;;;;;Gainesville;2024-02-07T20:19:14.630Z
1850 N Williamson Blvd, Daytona Beach, FL;;;;;Daytona Beach;2023-10-18T09:10:52.976Z
3835 Clyde Morris Blvd, Pt Orange, FL;;;;;Pt Orange;2024-02-25T01:57:22.124Z
900 Plaza, Atlantic Beach, FL;;;;;Atlantic Beach;2024-04-01T06:09:31.743Z
12501 Honore Ave, Sarasota, FL;;;;;Sarasota;2024-01-04T02:59:55.534Z
2725 SW 27th Ave, Gainesville, FL;;;;;Gainesville;2023-10-21T12:26:08.353Z
2000 Harbor Pines Dr, Saint Marys, GA;;;;;Saint Marys;2024-03-28T12:12:58.914Z
3705 State Road 524, Cocoa, FL;;;;;Cocoa;2024-01-20T06:11:02.396Z
4801 47th Ave W, Bradenton, FL;;;;;Bradenton;2023-12-05T08:50:36.382Z
14200 Duval Rd, Jacksonville, FL;;;;;Jacksonville;2023-11-14T06:51:27.648Z
2054 Riverside Ave, Jacksonville, FL;;;;;Jacksonville;2024-02-07T00:27:56.421Z
101 Plaza Real S, Boca Raton, FL;;;;;Boca Raton;2023-12-16T02:55:02.634Z
1444 Home St, Jacksonville, FL;;;;;Jacksonville;2023-10-28T09:28:16.514Z
7350 Honore Ave, Sarasota, FL;;;;;Sarasota;2023-11-14T07:45:37.088Z
1210 Westbury Pointe Dr, Brandon, FL;;;;;Brandon;2024-02-09T00:26:25.123Z
673 NE 3rd Ave, Fort Lauderdale, FL;;;;;Fort Lauderdale;2024-02-05T16:39:02.579Z
7343 W Sand Lake Rd, Orlando, FL;;;;;Orlando;2024-02-03T19:22:47.163Z
3890 Davie Rd, Fort Lauderdale, FL;;;;;Fort Lauderdale;2024-02-11T11:03:58.140Z
7660 Emerson Hill Cir, Zephyrhills, FL;;;;;Zephyrhills;2023-10-27T23:34:27.418Z
31155 Seaboard Cir, Wesley Chapel, FL;;;;;Wesley Chapel;2024-03-21T00:58:36.681Z
4005 Fennec Ln, Cocoa, FL;;;;;Cocoa;2023-10-24T09:27:05.251Z
100 Audubon Pl, Saint Johns, FL;;;;;Saint Johns;2023-12-01T07:37:52.240Z
San Marino, 20901 Saint Andrews Blvd #61, Boca Raton, FL 33433;3800;ForRent;3;3;Boca Raton;2024-04-01T11:22:30.390Z
50 Lago Mar Way, Jacksonville, FL;;;;;Jacksonville;2023-11-23T04:57:39.350Z
188 E Crystal Lake Ave, Lake Mary, FL;;;;;Lake Mary;2024-02-20T22:06:11.893Z
1810 Bertha St, Jacksonville, FL;;;;;Jacksonville;2024-02-01T13:40:38.941Z
13283 N Main St, Jacksonville, FL;;;;;Jacksonville;2024-02-04T19:59:13.988Z
13500 NW 3rd St, Fort Lauderdale, FL;;;;;Fort Lauderdale;2023-11-30T13:23:39.727Z
1508 Spring Lake Cove Ln, Fruitland Park, FL;;;;;Fruitland Park;2024-04-08T02:08:55.503Z
31434 Spruce Creek Cir, Wesley Chapel, FL;;;;;Wesley Chapel;2024-01-24T07:08:38.278Z
345 Banyan Blvd, West Palm Beach, FL;;;;;West Palm Beach;2024-03-04T05:01:21.114Z
5055 Hoffner Ave, Orlando, FL;;;;;Orlando;2024-02-21T23:55:55.642Z
2000 River Reach Dr, Naples, FL;;;;;Naples;2024-03-06T01:52:02.511Z
3700 Pacific Point Pl, Fort Lauderdale, FL;;;;;Fort Lauderdale;2023-12-23T04:41:46.963Z
3119 Sleepy River Ave, Ruskin, FL;;;;;Ruskin;2023-11-09T15:20:01.138Z
207 SE 2nd Pl, Gainesville, FL;;;;;Gainesville;2024-04-09T14:58:34.768Z
1060 Coral Ridge Dr, Pompano Beach, FL;;;;;Pompano Beach;2023-12-14T17:57:47.952Z
751 W Oakland Ave, Oakland, FL;;;;;Oakland;2023-11-22T21:26:36.711Z
119 Monahan Dr, Fort Walton Beach, FL;;;;;Fort Walton Beach;2024-01-21T01:44:58.052Z
6503 N Military Trl, Boca Raton, FL;;;;;Boca Raton;2023-11-19T11:37:07.187Z
2125B Jackson Bluff Rd, Tallahassee, FL;;;;;Tallahassee;2023-12-09T07:23:05.937Z
1401 Riverplace Blvd, Jacksonville, FL;;;;;Jacksonville;2023-10-14T03:18:10.731Z
222 Blairmore Blvd E, Orange Park, FL;;;;;Orange Park;2023-10-15T07:31:34.527Z
190 Chelsea St, Jacksonville, FL;;;;;Jacksonville;2023-12-30T16:32:13.338Z
1906 Griffin Rd, Lakeland, FL;;;;;Lakeland;2023-10-19T19:17:05.727Z
2301 NW 167th St, Miami Gardens, FL;;;;;Miami Gardens;2024-01-13T20:08:28.917Z
5290 Big Island Dr, Jacksonville, FL;;;;;Jacksonville;2023-11-25T18:17:56.930Z
18888 Babcock Blvd, Land O Lakes, FL;;;;;Land O Lakes;2023-11-10T16:20:14.908Z
10980 Oak St NE, Saint Petersburg, FL;;;;;Saint Petersburg;2024-01-08T22:34:35.540Z
3946 Saint Johns Ave, Jacksonville, FL;;;;;Jacksonville;2024-02-03T07:48:39.117Z
7630 Tortuga Bay Blvd, Pt Richey, FL;;;;;Pt Richey;2023-10-14T15:44:18.234Z
90 Eleven Oaks Cir, Eustis, FL;;;;;Eustis;2024-01-02T09:09:59.172Z
3421 W Arch St, Tampa, FL;;;;;Tampa;2024-02-20T06:29:38.239Z
8050 Gables Commons Dr, Orlando, FL;;;;;Orlando;2024-03-26T00:21:46.483Z
13525 Bartram Park Blvd, Jacksonville, FL;;;;;Jacksonville;2023-12-20T22:36:31.722Z
1351 S Federal Hwy, Boynton Beach, FL;;;;;Boynton Beach;2024-04-06T05:07:18.878Z
4781 SW 39th Way, Fort Lauderdale, FL;;;;;Fort Lauderdale;2024-03-01T14:16:44.613Z
11020 Town Cir, Wellington, FL;;;;;Wellington;2023-11-16T02:03:31.901Z
700 Sanctuary Cove Dr, Palm Beach Gardens, FL;;;;;Palm Beach Gardens;2024-01-19T22:48:17.873Z
1420 Lakefront Dr, Sarasota, FL;;;;;Sarasota;2024-02-22T12:39:19.160Z
4500 Holstein St, Saint Cloud, FL;;;;;Saint Cloud;2023-10-21T23:01:58.014Z
The Park at River City, 10621 Monaco Dr, Jacksonville, FL 32218;1300;ForRent;2;1.5;Jacksonville;2024-02-24T18:02:47.319Z
5101 SW 60th Street Rd, Ocala, FL;;;;;Ocala;2023-10-22T12:46:22.489Z
2031 Glass Loop, Clearwater, FL;;;;;Clearwater;2023-10-15T14:02:00.258Z
13306 Canopy Grove Dr, Tampa, FL;;;;;Tampa;2023-11-05T23:43:03.266Z
13305 Beach Blvd, Jacksonville, FL;;;;;Jacksonville;2023-11-25T17:31:47.859Z
10640 Satori Ln, Jacksonville, FL;;;;;Jacksonville;2023-10-13T09:37:09.603Z
6401 Emmy Ln, Wesley Chapel, FL;;;;;Wesley Chapel;2023-11-12T20:38:06.227Z
401 SE Central Pkwy, Stuart, FL;;;;;Stuart;2023-10-24T11:29:57.344Z
3251 Prime Park Cir, Kissimmee, FL;;;;;Kissimmee;2023-11-17T08:17:31.557Z
Park Place, 3132 W Lambright St, Tampa, FL 33614;1450;ForRent;1;1;Tampa;2023-12-17T15:16:58.912Z
2500 Junior St, Orange City, FL;;;;;Orange City;2024-03-13T14:08:02.209Z
2310 SW 17th Pl, Cape Coral, FL;;;;;Cape Coral;2023-11-22T12:22:36.256Z
12 NE 188th St, Miami, FL;;;;;Miami;2024-02-18T01:46:40.611Z
Gulf Cove Apartments, 1650 W Highway 98, Mary Esther, FL 32569;1225;ForRent;2;1;Mary Esther;2024-01-21T08:20:55.014Z
1616 McCaskill Ave, Tallahassee, FL;;;;;Tallahassee;2023-12-01T03:04:43.460Z
150 SE 3rd Ave, Fort Lauderdale, FL;;;;;Fort Lauderdale;2024-03-30T18:39:53.009Z
6175 Reflections Blvd, Lake Worth, FL;;;;;Lake Worth;2024-02-14T05:07:44.622Z
4200 NW 107th Ave, Miami, FL;;;;;Miami;2023-12-29T21:00:36.350Z
6500 Sand Lake Sound Rd, Orlando, FL;;;;;Orlando;2024-01-09T12:14:11.565Z
13504 Citicards Way, Jacksonville, FL;;;;;Jacksonville;2024-01-28T01:40:49.164Z
51 NW 26th St, Miami, FL;;;;;Miami;2024-02-16T14:10:53.146Z
3900 Woodmere Park Blvd, Venice, FL;;;;;Venice;2024-03-10T20:39:20.890Z
1890 Tatnall Sq, Vero Beach, FL;;;;;Vero Beach;2023-11-26T12:04:24.113Z
6820 W Hillsborough Ave, Tampa, FL;;;;;Tampa;2023-11-29T23:16:51.636Z
3851 Grandpine Way, Casselberry, FL;;;;;Casselberry;2024-02-04T13:12:50.924Z
100 Garden Dr, Valdosta, GA;;;;;Valdosta;2023-10-13T21:28:38.142Z
10208 Hawthorne Place Dr, Riverview, FL;;;;;Riverview;2023-11-06T23:23:03.763Z
650 Lavers Cir, Delray Beach, FL;;;;;Delray Beach;2023-12-07T08:20:45.218Z
2515 1st St, Fort Myers, FL;;;;;Fort Myers;2023-11-28T00:48:08.760Z
Jewish Center Towers, 3001 W De Leon St, Tampa, FL 33609;1860;ForRent;1;1;Tampa;2023-10-26T06:38:02.291Z
4455 SW 34th St, Gainesville, FL;;;;;Gainesville;2024-01-15T04:33:23.928Z
13990 Bartram Park Blvd, Jacksonville, FL;;;;;Jacksonville;2024-01-20T13:18:31.088Z
1030 Seminole Dr, Fort Lauderdale, FL;;;;;Fort Lauderdale;2023-11-26T00:12:44.149Z
Las Arenas, 3373 Coe Ave #3407, Orlando, FL 32806;1699;ForRent;1;1;Orlando;2023-10-13T05:10:02.082Z
The Avenue at Naranja, 13735 SW 262nd Ln, Homestead, FL 33032;2100;ForRent;2;2;Homestead;2024-01-04T21:21:17.147Z
15985 Arbor View Blvd, Naples, FL;;;;;Naples;2023-10-15T19:22:53.795Z
11209 Ranch Creek Ter, Bradenton, FL;;;;;Bradenton;2024-03-22T00:35:51.488Z
129 E Voorhis Ave, Deland, FL;;;;;Deland;2024-02-02T19:06:44.682Z
17171 Three Oaks Pkwy, Fort Myers, FL;;;;;Fort Myers;2023-12-11T17:31:03.351Z
2330 SW Williston Rd, Gainesville, FL;;;;;Gainesville;2023-12-11T10:53:57.098Z
333 E Palmetto Park Rd, Boca Raton, FL;;;;;Boca Raton;2023-12-30T10:36:06.749Z
5826 Pga Blvd, Orlando, FL;;;;;Orlando;2024-01-29T05:51:27.286Z
4220 New Broad St, Orlando, FL;;;;;Orlando;2023-12-11T08:29:10.691Z
402 11th St N, Naples, FL;;;;;Naples;2024-01-19T00:19:15.367Z
1001 Center Rd, Venice, FL;;;;;Venice;2024-02-24T05:15:14.796Z
5800 Reese Rd, Fort Lauderdale, FL;;;;;Fort Lauderdale;2024-03-05T02:43:04.038Z
10350 103rd St, Jacksonville, FL;;;;;Jacksonville;2023-12-16T19:39:06.831Z
300 Heartland Blvd, Mulberry, FL;;;;;Mulberry;2023-12-31T09:13:00.816Z
7801 W 4th Ave, Hialeah, FL;;;;;Hialeah;2023-10-13T01:23:28.836Z
1601 S Hiatus Rd, Hollywood, FL;;;;;Hollywood;2024-04-08T01:31:55.695Z
2202 W Pensacola St, Tallahassee, FL;;;;;Tallahassee;2024-01-27T01:57:08.539Z
1941 NW 136th Ave, Fort Lauderdale, FL;;;;;Fort Lauderdale;2024-02-23T00:48:08.804Z
1757 S Clyde Morris Blvd, Daytona Beach, FL;;;;;Daytona Beach;2023-11-19T04:04:08.812Z
419 SE 2nd St, Fort Lauderdale, FL;;;;;Fort Lauderdale;2023-12-31T14:47:46.736Z
5902 Memorial Hwy, Tampa, FL;;;;;Tampa;2024-02-17T07:50:50.663Z
5220 S Macdill Ave, Tampa, FL;;;;;Tampa;2024-03-24T05:21:34.273Z
12500 Roma Way, Pt Saint Lucie, FL;;;;;Pt Saint Lucie;2023-10-11T15:58:19.108Z
3551 NW 85th Way, Fort Lauderdale, FL;;;;;Fort Lauderdale;2024-02-26T13:07:34.632Z
3621 W Hillsboro Blvd, Pompano Beach, FL;;;;;Pompano Beach;2023-12-28T08:59:11.466Z
102 Court St, Titusville, FL;;;;;Titusville;2023-11-21T07:06:43.590Z
2610 State Road A1a, Atlantic Beach, FL;;;;;Atlantic Beach;2023-12-02T09:36:20.293Z
2701 Mayport Rd, Atlantic Beach, FL;;;;;Atlantic Beach;2023-11-01T10:50:55.104Z
Breakwater, 3480 Garden St, Titusville, FL 32796;1450;ForRent;1;1;Titusville;2023-12-02T13:39:05.488Z
1001 NE Baker Rd, Stuart, FL;;;;;Stuart;2024-03-24T16:01:35.396Z
2420 Medicine Lake Dr, Apopka, FL;;;;;Apopka;2023-11-27T21:19:00.700Z
11295 Biscayne Blvd, Miami, FL;;;;;Miami;2024-01-07T22:10:32.922Z
1695 Lee Road #C-214, 1695 Lee Rd, Winter Park, FL 32789;1450;ForRent;2;1;Winter Park;2023-11-21T12:33:49.007Z
7705 Heritage Crossing Way, 7705 Heritage Crossing Way, Kissimmee, FL 34747;2200;ForRent;3;2.5;Kissimmee;2023-11-22T01:43:06.448Z
1630 Mountain Ash Way, 1630 Mountain Ash Way, New Pt Richey, FL 34655;2600;ForRent;5;3;New Pt Richey;2024-02-01T01:37:36.851Z
10200 Belle Rive Blvd., 10200 Belle Rive Blvd, Jacksonville, FL 32256;1475;ForRent;2;2;Jacksonville;2023-10-28T09:10:21.499Z
1683 Holton Road, 1683 Holton Rd, Lakeland, FL 33810;1950;ForRent;3;2;Lakeland;2024-03-17T20:07:36.245Z
5560 Metrowest Blvd #3-204, 5560 Metrowest Blvd, Orlando, FL 32811;1700;ForRent;2;2;Orlando;2024-02-10T07:00:28.045Z
7524 135th Street, 7524 135th St, Seminole, FL 33776;2500;ForRent;3;2;Seminole;2024-02-06T14:17:59.961Z
199 W 29st, 199 W 29th St, Hialeah, FL 33012;2200;ForRent;2;1;Hialeah;2023-11-14T15:46:42.812Z
5500 Main St, New Pt Richey, FL;;;;;New Pt Richey;2023-10-19T07:49:04.707Z
5101 Bruce B Downs Blvd, Wesley Chapel, FL;;;;;Wesley Chapel;2023-11-23T13:00:57.794Z
9101 Avenue Club Dr, Tampa, FL;;;;;Tampa;2024-02-19T05:53:56.858Z
3001 SE Lake Weir Ave, Ocala, FL;;;;;Ocala;2024-01-28T23:26:34.174Z
6981 Tapestry Heights Ave, Apollo Beach, FL;;;;;Apollo Beach;2024-04-04T13:53:59.151Z
Tanglewood, 2811 Ruleme St, Eustis, FL 32726;950;ForRent;0;1;Eustis;2024-03-05T21:03:57.298Z
7950 Park Blvd, Pinellas Park, FL;;;;;Pinellas Park;2024-02-14T07:06:24.490Z
1000 Marlin Lakes Cir, Sarasota, FL;;;;;Sarasota;2024-01-06T10:18:22.322Z
5762 Folkstone Ln, Orlando, FL;;;;;Orlando;2023-11-07T18:48:48.708Z
4000 Middlebrook Rd, Orlando, FL;;;;;Orlando;2024-04-03T09:05:39.126Z
The Morton Apartments, 501 W Ball St #BAL1213, Plant City, FL 33563;1499;ForRent;2;1;Plant City;2024-03-02T10:37:44.396Z
5223 Hunters Ridge Dr, New Pt Richey, FL;;;;;New Pt Richey;2024-01-06T07:11:33.012Z
5116 Gate Pkwy, Jacksonville, FL;;;;;Jacksonville;2024-02-05T09:36:42.570Z
3500 Windmeadows Blvd, Gainesville, FL;;;;;Gainesville;2023-11-08T13:00:38.442Z
1000 Patriot Ln, Crestview, FL;;;;;Crestview;2023-11-27T07:39:01.864Z
14179 Georgian Cir, Fort Myers, FL;;;;;Fort Myers;2023-12-20T14:07:51.375Z
1572 NE 191st St, Miami, FL;;;;;Miami;2024-04-08T22:19:34.888Z
195 River Grove Way, West Palm Beach, FL;;;;;West Palm Beach;2024-01-23T16:00:01.811Z
2101 Lakeview Ridge Cir, Apopka, FL;;;;;Apopka;2023-12-01T20:23:25.138Z
8090 NW 96th Ter, Fort Lauderdale, FL;;;;;Fort Lauderdale;2023-11-30T13:58:45.223Z
10101 SW 14th St, Hollywood, FL;;;;;Hollywood;2024-02-26T02:16:46.056Z
8900 Fishermans Point Dr, Tampa, FL;;;;;Tampa;2023-12-03T15:17:40.120Z
3751 Pine Ridge Blvd, Palm Harbor, FL;;;;;Palm Harbor;2024-02-08T03:00:51.814Z
325 Lago Cir, Melbourne, FL;;;;;Melbourne;2023-12-16T15:56:21.171Z
300 Forest Glen Blvd, Daytona Beach, FL;;;;;Daytona Beach;2024-03-17T09:16:23.590Z
10400 City Center Blvd, Hollywood, FL;;;;;Hollywood;2024-01-26T21:34:44.315Z
1700 San Pablo Rd S, Jacksonville, FL;;;;;Jacksonville;2024-03-17T17:29:50.903Z
7663 Jubilee Park Blvd, Orlando, FL;;;;;Orlando;2024-03-21T08:56:15.442Z
8894 NW 44th St, Fort Lauderdale, FL;;;;;Fort Lauderdale;2024-03-16T18:21:47.421Z
5641 California Ave, Jacksonville, FL;;;;;Jacksonville;2024-01-07T02:35:15.976Z
800 NW 18th Ave, Gainesville, FL;;;;;Gainesville;2023-11-27T16:10:15.251Z
1599 NW 91st Ave, Pompano Beach, FL;;;;;Pompano Beach;2023-12-19T13:28:53.053Z
220 Henthorne Dr, Lake Worth, FL;;;;;Lake Worth;2024-04-07T04:39:07.749Z
3622 Coral Way, Miami, FL;;;;;Miami;2024-03-11T13:39:20.983Z
151 7th St S, Saint Petersburg, FL;;;;;Saint Petersburg;2024-03-09T20:36:09.610Z
9711 Magnolia View Ct, Riverview, FL;;;;;Riverview;2024-03-24T22:25:47.656Z
405-526 20th Ave SE, Boynton Beach, FL;;;;;Boynton Beach;2024-01-20T08:20:22.463Z
11900 SW 31st Ct, Hollywood, FL;;;;;Hollywood;2024-02-21T14:18:07.974Z
2401 21st St NW, Winter Haven, FL;;;;;Winter Haven;2023-11-03T12:34:51.422Z
10101 Arrowhead Dr, Jacksonville, FL;;;;;Jacksonville;2024-04-03T12:11:34.740Z
8000 Essex Point Cir, Orlando, FL;;;;;Orlando;2024-04-07T15:48:17.956Z
85041 Christian Way, Yulee, FL;;;;;Yulee;2023-11-21T07:21:17.710Z
37149 Cody Cir, Hilliard, FL;;;;;Hilliard;2023-10-18T13:15:16.612Z
13051 Gran Bay Pkwy, Jacksonville, FL;;;;;Jacksonville;2024-03-06T14:58:16.632Z
4141 E 15th St, Panama City, FL;;;;;Panama City;2024-03-30T16:27:15.625Z
The Oaks on Azeele, 3518 W Azeele St APT 389, Tampa, FL 33609;1450;ForRent;1;1;Tampa;2024-03-12T02:26:41.515Z
2600 Art Museum Dr, Jacksonville, FL;;;;;Jacksonville;2023-10-14T12:22:53.670Z
2540 Roy Hanna Dr S, Saint Petersburg, FL;;;;;Saint Petersburg;2023-11-26T19:02:39.504Z
1244 Eagle Branch Ln, Davenport, FL;;;;;Davenport;2023-10-28T23:51:48.617Z
10210 Falcon Gate Loop, Riverview, FL;;;;;Riverview;2024-02-07T10:28:00.126Z
1790 Manarola St, Kissimmee, FL;;;;;Kissimmee;2023-11-24T00:10:25.049Z
1851 Lpga Blvd, Daytona Beach, FL;;;;;Daytona Beach;2024-02-09T18:45:52.239Z
4787 W Irlo Bronson Memorial Memorial Hwy, Kissimmee, FL;;;;;Kissimmee;2024-02-04T06:19:48.706Z
8000 Cleary Blvd, Fort Lauderdale, FL;;;;;Fort Lauderdale;2023-10-13T00:49:19.133Z
12171 Treeline Ave, Fort Myers, FL;;;;;Fort Myers;2023-12-06T23:34:59.587Z
5000 Solara Cir, Sanford, FL;;;;;Sanford;2023-10-19T23:14:30.769Z
2263 SW 37th Ave, Miami, FL;;;;;Miami;2023-12-24T16:58:44.183Z
999 NW 7th St, Miami, FL;;;;;Miami;2023-12-07T08:11:35.584Z
2160 Mayport Rd, Atlantic Beach, FL;;;;;Atlantic Beach;2023-10-22T02:30:51.105Z
3000 Foxhill Cir, Apopka, FL;;;;;Apopka;2023-12-21T10:40:00.456Z
Waterford Aventura, 19580 W Dixie Hwy, Miami, FL 33180;2855;ForRent;2;2;Miami;2023-12-29T13:23:55.902Z
725 N Indiana Ave, Englewood, FL;;;;;Englewood;2024-03-18T06:46:30.971Z
4101 Acorn Oak Cir, Sanford, FL;;;;;Sanford;2024-01-19T06:14:05.796Z
7000 Tides Cir, Sarasota, FL;;;;;Sarasota;2024-03-27T10:09:16.085Z
4911 Webb Rd, Tampa, FL;;;;;Tampa;2024-03-02T04:43:11.921Z
17101 N Bay Rd, North Miami Beach, FL;;;;;North Miami Beach;2024-03-02T13:52:23.130Z
7130 Okeechobee Blvd, West Palm Beach, FL;;;;;West Palm Beach;2024-04-03T15:18:31.152Z
8781 White Swan Dr, Tampa, FL;;;;;Tampa;2024-04-01T11:01:50.541Z
6200 Wallis Rd, West Palm Beach, FL;;;;;West Palm Beach;2024-02-12T06:55:52.735Z
8151 Patterson Woods Dr, Orlando, FL;;;;;Orlando;2023-10-23T16:52:30.792Z
8881 SW 172nd Ave, Miami, FL;;;;;Miami;2024-03-11T00:23:05.370Z
2205 Bemiss Rd, Valdosta, GA;;;;;Valdosta;2023-10-24T08:39:46.007Z
20525 S Charleston, Boca Raton, FL;;;;;Boca Raton;2024-03-27T23:12:05.400Z
239 Oak Tree Cir, Daytona Beach, FL;;;;;Daytona Beach;2024-02-10T07:50:48.522Z
1700 Van Ness St, Orlando, FL;;;;;Orlando;2024-01-29T10:06:45.709Z
3502 Jenks Ave, Panama City, FL;;;;;Panama City;2023-10-21T21:28:59.445Z
6350 Union Station Ct, Apollo Beach, FL;;;;;Apollo Beach;2023-12-10T12:18:50.381Z
1155 N Courtenay Pkwy, Merritt Island, FL;;;;;Merritt Island;2024-02-07T08:02:43.491Z
Sunset Apartments, 2330 NW 72nd Ave, Fort Lauderdale, FL 33313;1625;ForRent;1;1;Fort Lauderdale;2023-11-12T19:28:46.334Z
4600 Lusso Ln, Jacksonville, FL;;;;;Jacksonville;2024-03-24T10:20:55.024Z
10000 Reflections Blvd, Fort Lauderdale, FL;;;;;Fort Lauderdale;2023-12-31T19:36:01.010Z
5903 NW 57th Ct, Fort Lauderdale, FL;;;;;Fort Lauderdale;2024-03-25T21:36:11.024Z
850 County Road 466, Lady Lake, FL;;;;;Lady Lake;2023-11-03T00:54:52.043Z
5337 Esplanade Park Cir, Orlando, FL;;;;;Orlando;2023-11-12T02:32:20.729Z
2681 University Blvd N, Jacksonville, FL;;;;;Jacksonville;2023-12-17T17:25:37.135Z
3301 SW 13th St, Gainesville, FL;;;;;Gainesville;2024-02-07T08:38:56.845Z
650 NE 2nd Ave, Miami, FL;;;;;Miami;2024-03-28T09:41:15.630Z
10660 Old Saint Augustine Rd, Jacksonville, FL;;;;;Jacksonville;2023-12-06T17:20:41.654Z
2490 Conway Rd, Orlando, FL;;;;;Orlando;2024-04-01T22:04:29.481Z
1448 Adriel Ln, Orlando, FL;;;;;Orlando;2023-12-20T05:50:41.091Z
2434 Metfield Dr, Melbourne, FL;;;;;Melbourne;2024-03-15T20:36:53.776Z
1505 40th Ave, Vero Beach, FL;;;;;Vero Beach;2023-11-30T14:19:56.466Z
309 SW 16th Ave, Gainesville, FL;;;;;Gainesville;2024-03-04T11:54:17.989Z
1462 Solera Ter, Jacksonville, FL;;;;;Jacksonville;2023-12-01T20:58:34.753Z
9009 Western Lake Dr, Jacksonville, FL;;;;;Jacksonville;2023-12-15T20:47:47.163Z
1553 Weaver Dr, Valdosta, GA;;;;;Valdosta;2024-03-04T22:05:53.163Z
1 S Pine Island Rd, Fort Lauderdale, FL;;;;;Fort Lauderdale;2024-03-12T15:30:27.754Z
8283 Meridian Rd, Jacksonville, FL;;;;;Jacksonville;2023-12-16T18:09:21.693Z
9541 103rd St, Jacksonville, FL;;;;;Jacksonville;2023-10-29T10:40:19.711Z
2000 Village Ln, Winter Park, FL;;;;;Winter Park;2023-12-18T20:26:16.557Z
1545 Kennedy Blvd, Lakeland, FL;;;;;Lakeland;2023-11-25T23:41:06.535Z
510 SE 5th Ave, Fort Lauderdale, FL;;;;;Fort Lauderdale;2024-01-19T21:37:58.126Z
160 W Tyler St, Tampa, FL;;;;;Tampa;2023-10-26T14:07:44.496Z
8150 Chatham Manor Blvd, Orlando, FL;;;;;Orlando;2023-11-05T01:13:08.118Z
3205 E Olive Rd, Pensacola, FL;;;;;Pensacola;2024-04-03T08:04:39.814Z
650 Tapestry Ln, Brandon, FL;;;;;Brandon;2024-03-26T15:34:00.421Z
8901 Bertha Palmer Blvd, Tampa, FL;;;;;Tampa;2024-02-15T08:48:20.517Z
1505 Fort Clarke Blvd, Gainesville, FL;;;;;Gainesville;2024-02-02T02:40:56.624Z
1501 SW 37th Ave, Miami, FL;;;;;Miami;2024-03-06T13:11:46.949Z
10654 Towns Way, Jacksonville, FL;;;;;Jacksonville;2023-11-30T10:28:37.564Z
2410 Canopy Breeze Cir, Orlando, FL;;;;;Orlando;2023-10-16T14:34:13.049Z
471 NE 83rd St, Miami, FL;;;;;Miami;2024-01-22T07:30:25.797Z
631 E Call St, Tallahassee, FL;;;;;Tallahassee;2024-01-11T12:26:42.174Z
2750 David Walker Dr, Eustis, FL;;;;;Eustis;2023-11-14T16:16:34.715Z
Aviara Green, 2157 S Haverhill Rd #204, West Palm Beach, FL 33415;2313;ForRent;2;2;West Palm Beach;2023-11-08T15:53:34.695Z
850 Capital Walk Dr, Tallahassee, FL;;;;;Tallahassee;2023-10-28T04:36:00.310Z
7740 Plantation Bay Dr, Jacksonville, FL;;;;;Jacksonville;2024-03-31T23:08:14.874Z
2195 Celebration Blvd, Kissimmee, FL;;;;;Kissimmee;2023-11-12T04:32:37.618Z
13052 Tampa Oaks Blvd, Tampa, FL;;;;;Tampa;2024-01-14T15:18:55.615Z
204 Potters Bluff Dr, Panama City Beach, FL;;;;;Panama City Beach;2024-03-22T07:51:31.714Z
1400 Hancock Blvd, Daytona Beach, FL;;;;;Daytona Beach;2023-12-15T07:58:33.472Z
12800 Vonn Rd, Largo, FL;;;;;Largo;2023-11-17T22:14:08.552Z
318 Monks Ct, Lake Mary, FL;;;;;Lake Mary;2023-10-16T03:45:37.831Z
5400 Broken Sound Blvd, Boca Raton, FL;;;;;Boca Raton;2023-12-01T17:27:02.218Z
2900 Coronet Ln, Jacksonville, FL;;;;;Jacksonville;2024-03-12T13:38:09.974Z
140 Cascade Ter, Daytona Beach, FL;;;;;Daytona Beach;2024-04-02T18:08:08.823Z
1415 2nd St, Sarasota, FL;;;;;Sarasota;2023-12-27T21:13:40.672Z
3500 Sandpiper Dr, Boynton Beach, FL;;;;;Boynton Beach;2023-12-03T09:25:59.626Z
1401 NW 103rd St, Miami, FL;;;;;Miami;2024-02-24T05:27:27.112Z
Rex Terrace Apartments, 100 Rex Ave, Lake Worth, FL 33461;2250;ForRent;2;2;Lake Worth;2023-10-29T20:42:17.752Z
525 Sabal Lake Dr, Longwood, FL;;;;;Longwood;2023-11-16T12:12:27.298Z
9849 Crosshill Blvd, Jacksonville, FL;;;;;Jacksonville;2023-11-29T12:09:22.781Z
1400 Plantation Blvd, Plant City, FL;;;;;Plant City;2023-11-29T06:41:45.891Z
6120 Burnett St, Lakeland, FL;;;;;Lakeland;2024-03-19T07:02:50.499Z
12802 Saddle Club Cir, Tampa, FL;;;;;Tampa;2024-04-01T02:47:00.203Z
8737 Baymeadows Rd, Jacksonville, FL;;;;;Jacksonville;2024-02-17T22:27:13.737Z
3200 Stirling Rd, Hollywood, FL;;;;;Hollywood;2024-01-29T14:21:56.499Z
2615 N Grady Ave, Tampa, FL;;;;;Tampa;2023-10-20T17:41:53.194Z
15210 Amberly Dr, Tampa, FL;;;;;Tampa;2024-03-28T16:21:50.439Z
